Open,High,Low,Close,WAP,NoofShares,NoofTrades,TotalTurnover,DeliverableQuantity,DeliQtytoTradedQty,SpreadHL,SpreadCO
280.55,284.25,280.55,282.2,282.38,329717.0,2376.0,93105565.0,112614.0,34.15,3.7,1.65
280.0,283.95,278.75,282.9,282.1,706167.0,4546.0,199211627.0,310683.0,44.0,5.2,2.9
280.15,280.7,277.1,278.0,278.2,321116.0,2892.0,89333117.0,114822.0,35.76,3.6,-2.15
275.75,281.35,275.75,280.1,278.89,685152.0,3959.0,191085348.0,400914.0,58.51,5.6,4.35
275.0,277.35,273.7,275.65,275.92,1606416.0,2715.0,443240995.0,364384.0,22.68,3.65,0.65
279.3,279.3,273.5,275.6,276.52,413460.0,3381.0,114328030.0,145514.0,35.19,5.8,-3.7
276.95,277.0,272.7,275.65,275.12,411502.0,2675.0,113212580.0,122063.0,29.66,4.3,-1.3
269.9,275.65,268.2,274.65,272.21,357685.0,3395.0,97364993.0,88485.0,24.74,7.45,4.75
273.5,273.5,269.25,269.7,270.1,1562001.0,5231.0,421889042.0,1173418.0,75.12,4.25,-3.8
275.0,276.15,273.15,274.1,274.32,671875.0,2582.0,184310890.0,133342.0,19.85,3.0,-0.9
275.25,275.25,271.3,272.1,272.81,2089575.0,4955.0,570055723.0,321198.0,15.37,3.95,-3.15
281.85,281.9,274.55,275.25,276.46,497969.0,7862.0,137669756.0,227459.0,45.68,7.35,-6.6
282.85,283.25,281.05,281.85,282.06,433564.0,2323.0,122293119.0,225385.0,51.98,2.2,-1.0
287.25,289.4,282.6,283.0,285.71,467773.0,2921.0,133647954.0,184777.0,39.5,6.8,-4.25
289.9,290.05,285.2,286.25,287.51,362207.0,2456.0,104139648.0,121922.0,33.66,4.85,-3.65
284.8,288.85,283.55,287.35,287.05,528406.0,3873.0,151679020.0,191418.0,36.23,5.3,2.55
286.3,287.8,281.0,282.05,284.21,602438.0,3661.0,171220728.0,171412.0,28.45,6.8,-4.25
286.9,287.05,282.85,284.75,284.36,318688.0,3082.0,90620673.0,86265.0,27.07,4.2,-2.15
281.25,286.25,280.8,285.65,283.72,448942.0,3805.0,127375479.0,142783.0,31.8,5.45,4.4
284.0,284.3,279.55,280.45,281.93,339165.0,3097.0,95619676.0,106302.0,31.34,4.75,-3.55
283.1,284.7,280.1,281.05,281.99,225812.0,3196.0,63677126.0,59793.0,26.48,4.6,-2.05
284.45,286.35,281.7,283.6,284.22,419176.0,3585.0,119137813.0,122793.0,29.29,4.65,-0.85
277.5,284.65,276.5,283.9,280.36,1691604.0,7099.0,474265344.0,1002789.0,59.28,8.15,6.4
277.0,278.15,275.05,276.25,276.46,533862.0,3678.0,147592298.0,211144.0,39.55,3.1,-0.75
277.0,279.2,273.5,274.45,276.71,2342887.0,7078.0,648295415.0,469848.0,20.05,5.7,-2.55
278.5,278.5,274.7,276.45,276.53,312369.0,4293.0,86379734.0,151576.0,48.52,3.8,-2.05
274.95,277.85,273.25,276.9,275.27,348187.0,3862.0,95845513.0,162159.0,46.57,4.6,1.95
278.45,278.45,273.25,273.85,275.44,399142.0,7085.0,109941256.0,172646.0,43.25,5.2,-4.6
279.75,280.0,276.0,277.25,277.5,500709.0,6086.0,138948955.0,205773.0,41.1,4.0,-2.5
280.1,281.0,278.95,280.15,279.93,136841.0,2178.0,38305635.0,88064.0,64.35,2.05,0.05
281.5,281.9,276.4,277.4,278.05,404014.0,3364.0,112335422.0,127829.0,31.64,5.5,-4.1
286.4,286.4,278.4,279.6,280.71,425145.0,3849.0,119343827.0,174342.0,41.01,8.0,-6.8
278.5,285.0,278.25,282.35,282.47,855443.0,6364.0,241640411.0,323122.0,37.77,6.75,3.85
281.1,281.9,274.85,277.5,276.93,601534.0,5146.0,166584018.0,196846.0,32.72,7.05,-3.6
280.9,280.9,273.15,279.8,277.28,496058.0,4251.0,137544981.0,124314.0,25.06,7.75,-1.1
283.0,283.55,278.2,279.0,280.79,412449.0,6350.0,115811232.0,155277.0,37.65,5.35,-4.0
282.0,285.0,279.0,283.55,282.69,558787.0,4621.0,157963415.0,90598.0,16.21,6.0,1.55
290.55,290.55,276.25,280.65,281.21,1317462.0,11729.0,370477500.0,219041.0,16.63,14.3,-9.9
286.0,289.5,284.6,287.25,287.17,465315.0,3319.0,133624409.0,153645.0,33.02,4.9,1.25
287.3,289.6,285.9,287.75,287.52,593277.0,3330.0,170580004.0,197179.0,33.24,3.7,0.45
286.9,291.0,283.6,285.9,287.39,616773.0,5180.0,177255222.0,189569.0,30.74,7.4,-1.0
